team,league,win,hits,walks,strikeout,wins
D,Central,0.647,106,23,148,11
T,Central,0.688,116,28,115,11
G,Central,0.875,97,25,131,14
C,Central,0.571,116,44,106,8
C,Central,0.769,102,32,124,10
T,Central,0.438,111,44,88,7
S,Central,0.556,132,29,83,10
DB,Central,0.625,96,29,81,10
T,Central,0.786,97,12,64,11
G,Central,0.6,87,42,106,9
C,Central,0.455,90,52,97,5
S,Central,0.333,101,38,84,3
D,Central,0.8,81,13,72,8
G,Central,0.417,91,26,58,5
DB,Central,0.462,98,26,69,6
G,Central,0.667,74,34,59,8
D,Central,0.462,87,29,88,6
DB,Central,0.4,75,17,65,4
DB,Central,0.545,84,47,67,6
C,Central,0.385,101,23,56,5
T,Central,0.143,71,40,85,1
S,Central,0.2,85,19,41,2
T,Central,0.556,67,17,75,5
T,Central,0.25,71,35,51,2
D,Central,0.3,86,17,50,3
D,Central,0.444,74,17,56,4
T,Central,0.7,67,23,63,7
C,Central,0.667,81,22,25,6
S,Central,0.222,80,34,52,2
S,Central,0.5,56,27,52,4
G,Central,0.5,47,23,49,4
G,Central,0.333,68,21,43,2
C,Central,0.556,70,14,38,5
G,Central,0.714,53,21,55,5
M,Pacific,0.538,138,26,77,7
F,Pacific,0.471,125,30,106,8
E,Pacific,0.733,110,38,110,11
Bs,Pacific,0.677,82,37,149,8
M,Pacific,0.714,130,25,88,10
Bs,Pacific,0.4,102,42,89,4
H,Pacific,0.647,90,57,149,11
L,Pacific,0.5,100,44,100,8
H,Pacific,0.818,83,49,102,9
M,Pacific,0.467,106,47,83,7
L,Pacific,0.429,125,35,66,6
H,Pacific,0.786,68,41,103,11
F,Pacific,0.571,91,29,115,8
E,Pacific,0.417,110,34,105,5
L,Pacific,0.462,89,56,66,6
F,Pacific,0.571,85,38,90,8
M,Pacific,0.75,72,12,79,9
M,Pacific,0.5,98,35,74,7
Bs,Pacific,0.333,93,22,66,4
H,Pacific,0.889,66,31,75,8
E,Pacific,0.333,88,20,63,4
Bs,Pacific,0.5,71,33,46,5
H,Pacific,0.667,64,22,89,6
F,Pacific,0.222,76,40,66,2
F,Pacific,0.583,59,37,68,7
Bs,Pacific,0.444,68,21,64,4
E,Pacific,0.444,56,28,82,4
E,Pacific,1,48,20,70,7
M,Pacific,0.286,61,31,40,2
E,Pacific,0.143,72,28,46,1
L,Pacific,0.429,72,52,44,3
L,Pacific,0.5,60,23,53,5
F,Pacific,0.375,63,30,43,3
